Activo,SMA,Banda,Semanas,X,Y,Logica,Sharpe_completo,CAGR_completo,MaxDD_completo,Rotacion,PeorAnio,Sharpe_2000-2009,CAGR_2000-2009,MaxDD_2000-2009,Sharpe_2010-2019,CAGR_2010-2019,MaxDD_2010-2019,Sharpe_ultimos10,CAGR_ultimos10,MaxDD_ultimos10
SPY,100,0.01,52,18,6,AND,0.4876146138943101,0.0739007207112927,-0.2668967134905359,4.18308311973636,-0.2149352929720706,-0.1129344454659784,0.0147445499483012,-0.1673764455210519,0.4973483135023867,0.0530980464577957,-0.1816818230618753,0.827997314235384,0.1108255727127007,-0.1632599860462816
SPY,100,0.01,52,18,8,AND,0.50447956237765,0.0760061228629966,-0.2668967134905347,4.18308311973636,-0.2149352929720698,-0.1024897564835068,0.0155326596080584,-0.1673764455210519,0.5067658925126932,0.054147678922874,-0.1816818230618753,0.8657604812489563,0.1160696091661956,-0.1472476236462486
SPY,100,0.02,26,8,2,AND,0.4982707962866599,0.0740963954834375,-0.1946706486755424,2.5221530574881,-0.1578967355300382,0.2216620019651634,0.042825514350099,-0.1429676754953376,0.5580277994954506,0.0564838137714078,-0.168489842162569,0.6707205723264621,0.0890827187560665,-0.1906076106599589
SPY,100,0.02,26,8,4,AND,0.4813981171686256,0.0737605923796111,-0.2405812814887489,2.9527645551080197,-0.1688602734402153,0.1916841124818253,0.0407075956358842,-0.1681801347673154,0.4965418614407092,0.0518141221388088,-0.1550181994257244,0.6415994140451998,0.0887950977078231,-0.164322373573563
SPY,100,0.02,26,8,6,AND,0.463594828003992,0.0724540761009016,-0.3226672530649628,3.444891980959356,-0.1994771868836193,0.104517505378973,0.0326419593120619,-0.258091984646226,0.5133563843161905,0.0542911791387938,-0.1810133850064544,0.6392212806090684,0.0906127911509453,-0.185917185235225
SPY,100,0.02,26,8,8,AND,0.4592716556203403,0.0727688714598693,-0.3454087034034954,4.798242402050532,-0.2135908206125074,0.0466928975868156,0.0270438711399811,-0.2830015499422701,0.4975192371046965,0.0535090994617906,-0.2125046170873865,0.700065728539651,0.0996209102894649,-0.1833524825513945
SPY,100,0.02,26,10,2,AND,0.4966130234059481,0.0745291781367059,-0.2412909801358524,2.583668985719517,-0.1578967355300378,0.2025985517361296,0.0411787971494677,-0.1437470041439157,0.4744010561169364,0.0484007059096966,-0.168489842162569,0.817183572219025,0.1065397089992103,-0.151771148955941
SPY,100,0.02,26,10,4,AND,0.5016234302160416,0.0764679030570856,-0.2742852063237043,2.829732698645185,-0.1729206173415257,0.1389326403621454,0.035861495537258,-0.2050973104052628,0.4965418614407092,0.0518141221388088,-0.1550181994257244,0.7542008322421627,0.102773852019272,-0.1406016966508403
SPY,100,0.02,26,10,6,AND,0.4289018605358084,0.068966110624224,-0.3832526104599694,3.3218601244965216,-0.2152438860603251,-0.0266075878530896,0.0198414538125095,-0.324453403709195,0.4848559188954555,0.0515530606460241,-0.2020036242926258,0.6685386581749402,0.0951448551608606,-0.185917185235225
SPY,100,0.02,26,10,8,AND,0.4345567770442541,0.0702429132461279,-0.3781943407986831,3.5679238374221898,-0.2152438860603251,-0.0355830170846382,0.0187575516332265,-0.3189128908334924,0.4770853398824407,0.0515380804246408,-0.2270915360060249,0.7114380446829576,0.1019208306990258,-0.163315961371004
SPY,100,0.02,26,12,2,AND,0.4801084885524352,0.0733547616177154,-0.2708471641235268,2.768216770413768,-0.2152438860603239,0.1161763019737647,0.0336559774790763,-0.2013314935641645,0.4495258571427123,0.0466630140272512,-0.168489842162569,0.7858206933397129,0.104704195646887,-0.1517711489559406
SPY,100,0.02,26,12,4,AND,0.4873521564671549,0.0748816394610234,-0.3114214508849496,2.8912486268766022,-0.2152438860603247,0.0795479857954803,0.0302822556447714,-0.2457740348435821,0.4999317706515049,0.0522970884524065,-0.1550181994257244,0.7568164835569468,0.1032806206749583,-0.1406016966508396
SPY,100,0.02,26,12,6,AND,0.4224345740780942,0.0685111652168475,-0.4047073145743682,3.1988282680336875,-0.2152438860603251,-0.0999072645078384,0.0125549349835016,-0.3479535475034292,0.4758642467746486,0.050950502597125,-0.2065572894690511,0.7175652822955443,0.1019305755299575,-0.185917185235225
SPY,100,0.02,26,12,8,AND,0.445877475393493,0.0718859527315718,-0.3799460495660943,3.2603441962651045,-0.2152438860603251,-0.0740479328471755,0.014873172119173,-0.3208316032846314,0.5258499888017016,0.0572556199810021,-0.2099710166895193,0.7334211432356963,0.1055596719943758,-0.1815344988041703
SPY,100,0.02,26,15,2,AND,0.4854844863401821,0.0739925442739701,-0.2708471641235268,2.768216770413768,-0.2152438860603239,0.1161763019737647,0.0336559774790763,-0.2013314935641645,0.4682426677657837,0.048689575219142,-0.168489842162569,0.7858206933397129,0.104704195646887,-0.1517711489559406
SPY,100,0.02,26,15,4,AND,0.4873521564671549,0.0748816394610234,-0.3114214508849496,2.8912486268766022,-0.2152438860603247,0.0795479857954803,0.0302822556447714,-0.2457740348435821,0.4999317706515049,0.0522970884524065,-0.1550181994257244,0.7568164835569468,0.1032806206749583,-0.1406016966508396
